"","Type","Pre","Ori","MAE","RMSE","NSE","MAPE"
"34","Train",5.54840655022903,5.5487,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"35","Train",5.65595070890286,5.8177,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"36","Train",5.79287248221737,5.7843,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"37","Train",5.80638262581928,5.7927,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"38","Train",5.86245176031201,5.9021,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"39","Train",5.93541335864696,6.0052,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"40","Train",6.0285926410087,5.9682,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"41","Train",6.09339049148689,6.1178,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"42","Train",6.17929300099216,6.0559,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"43","Train",6.16030229211527,6.0242,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"44","Train",6.18497045225161,6.0918,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"45","Train",6.15218971589314,6.1159,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"46","Train",6.22489587208448,6.1991,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"47","Train",6.22029250511536,6.2408,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"48","Train",6.24689104236302,6.2932,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"49","Train",6.24439694521165,6.2701,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"50","Train",6.21254312269025,6.0291,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"51","Train",6.08644581421859,5.8468,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"52","Train",5.9115408550247,5.6805,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"53","Train",5.64844345567577,5.4244,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"54","Train",5.44621637983964,5.4171,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"55","Train",5.3563182185302,5.3703,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"56","Train",5.31955597537225,5.379,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"57","Train",5.31734207412271,5.3803,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"58","Train",5.31922710401309,5.3743,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"59","Train",5.32919496401278,5.3189,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"60","Train",5.34253952785386,5.3684,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"61","Train",5.34745990933996,5.2774,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"62","Train",5.30896698325463,5.2452,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"63","Train",5.22881223400273,5.1944,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"64","Train",5.24288297742307,5.1867,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"65","Train",5.22131454945529,5.1951,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"66","Train",5.26341861203334,5.211,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"67","Train",5.28032251668818,5.2203,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"68","Train",5.3112287279024,5.3311,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
