"measurements","predictions"
6.51198,6.5409067501525
6.539162,6.52320175231115
6.567277,6.53993224635179
6.548529,6.55293353955228
6.566334,6.55476989738783
6.579457,6.53003760146994
6.582517,6.52774767010248
6.585079,6.50725170834724
6.590698,6.50816230497385
6.575708,6.50255688452303
6.555091,6.51734849898611
6.535408,6.46436179597651
6.521352,6.43176951525678
6.561587,6.45873554241521
6.570086,6.48662831914774
6.541035,6.46799210532553
6.481049,6.48564786755877
6.502767,6.49865485890594
6.509097,6.50167081050381
6.50261,6.50419259744369
6.487617,6.50974883150804
6.489492,6.49484419725377
6.497921,6.47435265170211
6.486675,6.45478833591839
6.465117,6.4408108410934
6.460434,6.48073660727413
6.474495,6.48915304915638
6.478243,6.46028850850249
6.492299,6.4007083435447
6.542909,6.4222509161855
6.572894,6.42851428432723
6.567269,6.42205236720234
6.570086,6.4071449140123
6.565402,6.40898481545463
6.525103,6.41733251066413
6.514792,6.40614539668397
6.526979,6.38471946743923
6.497918,6.38004862374319
6.490427,6.39398834276328
6.494163,6.39768842120705
6.480119,6.41162317401261
6.462654,6.46185013045656
6.446376,6.49159893809457
6.434195,6.48599364764146
6.457557,6.48876958425813
6.453868,6.48409845833624
6.455744,6.44406795392717
6.462304,6.43381016233325
6.493237,6.44588878646852
6.485736,6.4170154952821
6.491361,6.4095574802382
6.511982,6.4132461336009
6.552281,6.39928239066667
6.589765,6.38192199504087
6.631944,6.36573932619516
6.620688,6.35362452308902
6.590697,6.37679979052436
6.579454,6.37311694838522
6.484797,6.37495886027244
6.422952,6.38145173244844
6.386412,6.41214291689928
6.293651,6.40467575792766
6.309378,6.4102405586447
6.305105,6.43069356965344
6.300716,6.47068221504215
6.324706,6.50787469807816
6.296887,6.54972750722933
6.285113,6.5385323591608
6.269087,6.50873841901257
6.316147,6.49755523891661
6.357363,6.40356089390987
6.366735,6.34213924435519
6.381724,6.305839824849
6.38454,6.21371769566641
6.386405,6.22931364090059
6.402334,6.22505121327005
6.419202,6.220673997712
6.453868,6.24447533671209
6.451994,6.21683533105011
6.449184,6.20512769692233
6.436066,6.18919672244882
6.395768,6.23590426899475
6.363923,6.27680783709827
6.309571,6.28609408360453
6.247749,6.30095732049168
6.240255,6.30373405267576
6.243064,6.3055668889696
6.241187,6.32136301283188
6.252424,6.33809098009007
6.243062,6.37248893310391
6.271164,6.37061049503285
6.285217,6.36780235637976
6.341438,6.35476006207743
6.392972,6.31473309215424
6.370477,6.28309767808647
6.395777,6.22911498706277
6.418263,6.16771336665663
6.392034,6.16025419523605
6.407963,6.16302507433235
6.407026,6.16114320791361
6.440759,6.17228238970346
6.459493,6.16296868065356
6.463244,6.19085319159213
6.461367,6.20478889756422
6.419203,6.26059005479455
6.400462,6.31173637432181
6.418267,6.2893848616819
6.437937,6.31448497511323
6.426697,6.33679085715422
6.433255,6.31073225713298
6.400457,6.32652853244017
6.418258,6.32558071711322
6.418267,6.35905252416859
6.454031,6.3776327388359
6.447309,6.38133885064581
6.456682,6.37945728901821
6.466059,6.33758104920521
6.463248,6.31895780905507
6.464185,6.336616757308
6.5176,6.3561264767143
6.538222,6.34495009689389
6.51198,6.35144305561589
6.491363,6.31886461464223
6.501673,6.33651931916249
6.544775,6.33651076723785
6.588821,6.37199820322521
6.640365,6.36530781052045
6.663788,6.37459571243201
6.642255,6.38388741914306
6.499801,6.38107964789805
6.466054,6.38199293249956
6.446381,6.4350009932164
6.423891,6.45545483329997
6.367212,6.42938680912041
6.322459,6.40890312919516
6.35482,6.41912096153119
6.39273,6.46189023797274
6.392942,6.50559526031794
6.33332,6.55674111126833
6.335266,6.57997286591148
6.327433,6.55858155209346
6.348861,6.4171586928194
6.349625,6.38364075913137
6.365479,6.36409342574305
6.356172,6.3417492094529
6.349601,6.28546421022954
6.338958,6.2410179112354
6.344468,6.27312929553466
6.396482,6.31074808406403
6.414347,6.3109423562839
6.471686,6.25173575441221
6.516663,6.25365125787628
6.491368,6.24585844090027
6.430457,6.26711567418527
6.356353,6.26785799265288
6.311926,6.28358038572954
6.316444,6.27432462374006
6.33868,6.26778513883171
6.331995,6.25720325526816
6.347571,6.26265836023613
6.36055,6.31427986015095
6.363156,6.33200033542327
6.3989,6.38890561416183
6.40589,6.43353629947065
6.466047,6.40841081261938
6.469527,6.34792816492595
6.451228,6.2743468018897
6.435523,6.23022576246209
6.438137,6.23469537861166
6.447741,6.25675509072056
6.489593,6.25010285816581
6.432914,6.26555025024667
6.339644,6.27841946372706
6.323977,6.28099089339638
6.234351,6.31645924959682
6.243977,6.32338279700112
6.270228,6.38308405816879
6.253365,6.38652309445626
6.230806,6.36834343076238
6.250821,6.35273860431755
6.318734,6.35531835391788
6.32484,6.36483664993139
6.359704,6.40636622855277
6.366652,6.35008932586233
6.38584,6.25748641452873
6.398893,6.24191955272448
6.391052,6.15292862728906
6.369282,6.16247114678909
6.361414,6.18851767805309
6.365789,6.17176008002077
6.370151,6.14934850638431
6.396307,6.16920452416099
6.382339,6.23661077136457
6.382339,6.24265772970673
6.377993,6.27725322361129
6.34225,6.28413611169583
6.329192,6.30316944161427
6.323108,6.31611254332475
6.269122,6.3083147272724
6.236024,6.28668990462847
6.229928,6.27886527260783
6.22993,6.28319401224559
6.229928,6.28751001722836
6.246467,6.31346054187356
6.300458,6.29958130809353
6.287385,6.29956797869131
6.310892,6.29524047188025
6.316986,6.25974619152013
6.308278,6.24677002509228
6.326568,6.24071720354871
6.308278,6.18711092029438
6.324839,6.15423965788903
6.330055,6.14817427467431
