Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
1/1/2008 12:00,9.3657,9.3698,8.8171,8.0854,7.9953,7.9276,7.9363,7.9081,7.8902,7.8569,7.8307,7.819,11.244,674.83,4.70099872
1/1/2008 12:00,9.7472,9.7672,9.7307,9.1114,8.5385,8.1019,8.0326,7.9488,7.8965,7.8818,7.8501,7.805,11.34,349.55,4.5966784
1/1/2008 12:00,9.9405,9.982,9.9304,9.5178,8.6809,8.0713,8.0249,8.017,7.9419,7.9546,7.9398,7.8364,11.389,81.599,2.63023008
1/1/2008 12:00,10.607,10.445,10.101,9.9621,9.5819,8.7682,8.3628,8.0813,7.9477,7.9822,7.942,7.7947,11.232,299.66,1.07684496
1/1/2008 12:00,10.772,10.795,10.31,10.043,9.6288,8.5784,8.2206,8.0811,7.9761,7.9685,7.9305,7.845,9.1454,402.5,2.5318768
1/1/2008 12:00,12.093,11.322,10.732,10.344,9.9088,9.04,8.2148,8.0085,7.9551,7.8998,7.8527,7.858,12.399,707.53,2.26433736
1/1/2008 12:00,11.174,11.06,10.352,10.084,9.9532,9.0528,8.7202,8.2575,8.0019,7.9612,7.8943,7.8199,10.121,404.55,2.5614548
1/1/2008 12:00,10.89,10.931,10.68,9.9791,9.5256,8.7209,8.3614,8.1221,7.975,7.9997,7.9354,7.8053,9.4671,386.05,4.3050136
1/1/2008 12:00,11.344,11.352,11.007,10.646,10.08,9.6077,8.4676,8.0882,8.0089,7.9629,7.9033,7.8854,11.134,121.05,1.93537856
1/1/2008 12:00,12.03,12,11.655,11.119,10.524,9.5471,8.289,8.0328,7.9714,7.9377,7.8826,7.8676,15.95,678.03,2.77163864
1/1/2008 12:00,13.072,12.74,12.082,11.364,10.699,9.6446,8.7798,8.2374,7.9894,7.9808,7.9334,7.8463,14.9,428.51,1.5828088
1/1/2008 12:00,14.275,13.206,12.273,11.329,10.548,9.6465,8.7828,8.2496,8.0249,7.9239,7.868,7.8892,17.539,693.77,1.35683288
1/1/2008 12:00,14.819,14.354,12.556,11.295,10.362,9.3798,8.6691,8.2463,8.0481,7.9535,7.8898,7.898,19.326,726.14,2.56227784
1/1/2008 12:00,16.095,16.028,12.954,11.454,10.364,9.6776,8.5794,8.1216,8.0005,7.9223,7.8581,7.8638,20.888,668.69,2.9135616
1/1/2008 12:00,17.13,17.077,13.568,11.868,10.503,9.3075,8.5981,8.1141,7.9723,7.9132,7.8517,7.8582,21.184,788.92,3.6614992
1/1/2008 12:00,17.782,17.036,13.601,11.634,10.381,9.2695,8.5987,8.1354,7.9729,7.9058,7.8391,7.842,20.346,653.62,1.74633656
1/1/2008 12:00,18.05,16.734,13.59,12.142,10.839,9.5325,8.5795,8.1302,7.9942,7.9136,7.8494,7.8506,20.273,116.43,1.96228168
1/1/2008 12:00,19.047,17.835,13.77,11.78,10.665,9.6647,8.8176,8.1844,7.9803,7.9023,7.8454,7.8505,22.773,629.91,1.6237036
1/1/2008 12:00,19.192,18.722,14.086,12.013,10.834,9.5807,8.431,8.0817,7.9764,7.9126,7.8498,7.8697,19.946,758.25,1.92097536
1/1/2008 12:00,18.834,18.776,15.386,12.097,10.914,9.8018,8.965,8.3258,8.0304,7.9461,7.8832,7.8635,16.992,826.64,3.31469072
1/1/2008 12:00,18.364,18.273,17.469,12.438,10.772,9.6171,8.6161,8.1919,8.0138,7.9495,7.8803,7.877,14.471,841.32,3.01731608
1/1/2008 12:00,17.89,17.627,17.41,11.986,10.814,9.6737,8.7854,8.2427,8.0279,7.9469,7.8838,7.8651,14.173,849.9,2.62621776
1/1/2008 12:00,17.596,17.62,16.825,12.66,10.839,9.5112,8.6552,8.2003,8.0211,7.9493,7.8903,7.8621,12.137,289.4,1.91598568
1/1/2008 12:00,16.714,16.734,16.761,12.614,10.996,9.4707,8.6839,8.1727,8.0249,7.9635,7.8912,7.8819,11.717,196.56,2.55980872
1/1/2008 12:00,15.933,15.947,15.916,13.692,10.747,9.6842,8.9096,8.2768,8.0539,7.9543,7.8971,7.8749,11.828,347.77,2.57410904
1/1/2008 12:00,15.767,15.506,15.287,12.912,10.981,9.8704,8.8332,8.2167,8.0278,7.9527,7.8852,7.8738,12.06,442.2,1.35204896
1/1/2008 12:00,16.003,15.943,15.415,13.282,10.723,9.449,8.6793,8.1816,8.017,7.9492,7.8811,7.8792,12.188,761.13,1.9925284
1/1/2008 12:00,16.091,16.076,15.577,13.182,10.856,9.7304,8.9957,8.3884,8.0756,7.9614,7.9008,7.8886,13.143,660.34,2.7767312
1/1/2008 12:00,16.172,16.061,15.933,13.493,11.04,9.9698,8.9655,8.3292,8.0375,7.9462,7.8658,7.8731,15.857,457.98,2.57014816
1/1/2008 12:00,16.683,16.681,16.291,13.897,10.951,9.6872,8.7765,8.2959,8.0332,7.9428,7.8759,7.8842,17.783,723.62,3.4925188
1/1/2008 12:00,16.173,16.184,16.182,15.43,11.17,9.4676,8.6688,8.2594,8.0514,7.9675,7.9117,7.8832,14.104,729.96,5.37548
