Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,21.954,21,16.247,14.337,12.538,11.819,11.347,10.574,9.4109,8.616,8.4391,8.2788,23.572,782.56,1.84247792
,15.375,15.35,15.181,15.099,14.371,11.944,11.398,10.441,9.2418,8.7211,8.5942,8.4298,14.109,497.11,3.204712
,19.386,19.005,17.831,15.519,14.346,12.455,11.545,10.491,9.2193,8.764,8.6198,8.5108,16.88,339.66,1.34870536
,18.72,17.771,16.182,15.69,14.943,12.788,11.464,9.9978,9.1846,8.8026,8.6936,8.5886,22.74,950.96,1.13697832
,23.764,23.266,18.848,16.232,14.938,12.865,11.51,10.423,9.2581,8.8599,8.7493,8.6755,21.619,222.36,1.3564728
,21.953,21.698,20.939,16.925,15,13.146,11.471,10.296,9.2474,8.9078,8.7964,8.7152,17.09,549.93,1.8086304
,19.67,19.503,18.811,18.125,15.778,12.99,11.648,10.638,9.5917,8.9633,8.8283,8.6859,17.258,726.32,3.1308956
,18.266,18.284,18.274,18.094,15.994,13.46,11.893,10.168,9.2189,8.9758,8.8483,8.7454,14.671,81.92,1.21480704
,17.63,17.629,17.625,17.492,16.824,14.291,12.077,10.448,9.3484,8.9828,8.9074,8.763,14.856,248.93,3.43084224
,17.043,16.91,15.813,15.329,15.01,14.448,12.795,10.712,9.6689,8.9919,8.9104,8.8278,18.39,144.57,2.16644704
,18.268,17.887,16.103,15.358,14.994,14.464,13.032,10.909,9.6548,9.0882,8.9762,8.8619,17.263,600.79,3.6308924
,16.654,16.504,16.455,16.165,15.875,13.917,12.366,10.623,9.3484,9.1059,9.0315,8.9362,15.975,200.95,1.565062
,16.517,16.455,15.717,15.537,15.414,14.817,13.057,11.293,9.6508,9.2165,9.0813,8.9951,15.937,581.67,3.40748848
,14.968,14.961,14.817,14.705,14.531,14.48,13.987,11.571,10.268,9.3362,9.161,9.0725,14.953,345.66,4.04066344
,14.38,14.385,14.286,13.99,13.841,13.736,13.443,11.516,9.862,9.2486,9.1402,9.0914,18.289,69.122,3.460626
,15.082,15.055,14.712,14.425,14.03,13.608,13.136,11.234,9.9361,9.3172,9.1857,9.0888,16.143,472.76,3.53449384
,14.148,14.15,14.127,13.996,13.893,13.768,12.96,11.075,9.6218,9.3217,9.227,9.1251,15.721,247.17,4.42456016
,14.058,14.057,14.016,13.941,13.871,13.639,13.015,11.545,9.9793,9.3893,9.2491,9.1484,16.043,92.525,3.05764504
,12.961,12.88,12.843,12.802,12.81,12.801,12.814,12.716,11.23,9.626,9.3255,9.1834,11.865,170.21,0.32545
,12.036,11.794,11.735,11.677,11.684,11.658,11.669,11.634,11.453,9.9234,9.3399,9.1775,10.945,310.68,0.23759
